Harbhajan Singh,MM Patel,0,2,0,0,0,0,0,2,2,100.0,0
Rajagopal Sathish,Shane Watson,1,1,0,0,0,0,0,2,1,50.0,0
Harbhajan Singh,Iqbal Abdulla,6,1,0,0,1,0,0,8,5,62.5,0
JR Hopes,D Salunkhe,1,2,1,1,0,0,0,5,7,140.0,0
MS Wade,Abhimanyu Mithun,1,1,1,0,0,0,0,3,3,100.0,1
Shoaib Akhtar,RR Raje,2,0,0,0,0,0,0,2,0,0.0,1
R Dravid,SB Styris,6,7,1,0,1,0,2,17,25,147.05882352941177,2
S Badrinath,Rohit Sharma,7,18,4,0,3,0,0,32,38,118.75,0
Manan Vohra,AB Agarkar,1,2,0,0,0,0,0,3,2,66.66666666666667,0
Dwayne Smith,S Tyagi,0,1,0,0,0,0,1,2,7,350.0,0
Tirumalsetti Suman,Shane Watson,1,0,0,0,1,0,0,2,4,200.0,1
Brendon McCullum,Ankit Sharma,12,7,1,0,3,0,1,24,27,112.5,1
SC Ganguly,RE van der Merwe,2,3,0,0,0,0,0,5,3,60.0,0
Dinesh Karthik,Ishant Sharma,9,6,1,0,1,0,0,17,12,70.58823529411765,2
GJ Bailey,Jean-Paul Duminy,0,4,1,0,0,0,0,5,6,120.0,0
Dwayne Smith,T Natarajan,0,1,0,0,0,0,1,2,7,350.0,0
Ravindra Jadeja,KK Cooper,1,3,0,0,0,0,1,5,9,180.0,0
SB Joshi,LR Shukla,2,0,0,0,0,0,0,2,0,0.0,1
AUK Pathan,RJ Harris,1,0,0,0,0,0,0,1,0,0.0,1
DJ Jacobs,Thisara Perera,1,2,1,0,0,0,0,4,4,100.0,0
Aaron Finch,Suresh Raina,0,1,0,0,0,0,1,2,7,350.0,0
AB de Villiers,Rishi Dhawan,1,4,0,0,1,0,0,6,8,133.33333333333334,1
AB Agarkar,M Muralitharan,1,2,0,0,1,0,0,4,6,150.0,0
Gautam Gambhir,Imran Tahir,4,14,2,0,1,0,1,22,28,127.27272727272727,1
Wriddhiman Saha,James Faulkner,7,10,2,0,4,0,0,23,30,130.43478260869566,1
