Ajinkya Rahane,RPS,bat 
Kevin Pietersen,RPS,bat 
Faf du Plessis,RPS,bat 
Steven Smith,RPS,bat 
MS Dhoni,RPS,bat 
Mitchell Marsh,RPS,bowl,RF
Irfan Pathan,RPS,bowl,LMF
Ravichandran Ashwin,RPS,bowl,ROS
Ishant Sharma,RPS,bowl,RF
Murugan Ashwin,RPS,bowl,RLS
Ishwar Pandey,RPS,bowl,RF
Aaron Finch,GL,bowl,LOS
Brendon McCullum,GL,bat
Suresh Raina,GL,bowl,ROS
Dinesh Karthik,GL,bat
Dwayne Bravo,GL,bowl,RMF
James Faulkner,GL,bowl,LMF
Ishan Kishan,GL,bat
Ravindra Jadeja,GL,bat,LOS
Praveen Kumar,GL,bat,RMF
Dhawal Kulkarni,GL,bat,RMF
Pravin Tambe,GL,bat,RLS
Chris Gayle,RCB,bowl,ROS
Shane Watson,RCB,bowl,RMF
Virat Kohli,RCB,bat
AB de Villiers,RCB,bat
Lokesh Rahul,RCB,bat
Kedar Jadhav,RCB,bat
Stuart Binny,RCB,bowl,RMF
Varun Aaron,RCB,bowl,RF
Yuzvendra Chahal,RCB,bowl,RLS
Sreenath Aravind,RCB,bowl,LMF
Adam Milne,RCB,bowl,RF
Robin Uthappa,KKR,bat
Gautam Gambhir,KKR,bat
Manish Pandey,KKR,bat
Shakib Al Hasan,KKR,bowl,LOS
Yusuf Pathan,KKR,bowl,ROS
Suryakumar Yadav,KKR,bat
Andre Russell,KKR,bowl,RF
Jason Holder,KKR,bowl,RF
Piyush Chawla,KKR,bowl,RLS
Umesh Yadav,KKR,bowl,RF
Morne Morkel,KKR,bowl,RF
Murali Vijay,KXIP,bat
Manan Vohra,KXIP,bat
Shaun Marsh,KXIP,bat
Glenn Maxwell,KXIP,bowl,ROS
David Miller,KXIP,bat
Wriddhiman Saha,KXIP,bat
Axar Patel,KXIP,bowl,LOS
Rishi Dhawan,KXIP,bowl,RMF
Mitchell Johnson,KXIP,bowl,LF
Mohit Sharma,KXIP,bowl,RF
Sandeep Sharma,KXIP,bowl,RMF
Shreyas Iyer,DD,bat
Mayank Agarwal,DD,bat
Sanju Samson,DD,bat
Jean-Paul Duminy,DD,bowl,ROS
Karun Nair,DD,bat
Pawan Negi,DD,bowl,LOS
Chris Morris,DD,bowl,RF
Zaheer Khan,DD,bowl,LMF
Amit Mishra,DD,bowl,RLS
Nathan Coulter-Nile,DD,bowl,RF
Imran Tahir,DD,bowl,RLS
Parthiv Patel,MI,bat
Lendl Simmons,MI,bat
Rohit Sharma,MI,bowl,ROS
Ambati Rayudu,MI,bat
Kieron Pollard,MI,bowl,RMF
Hardik Pandya,MI,bowl,RMF
Harbhajan Singh,MI,bowl,ROS
Krunal Pandya,MI,bowl,LOS
Tim Southee,MI,bowl,RMF
Jasprit Bumrah,MI,bowl,RF
Lasith Malinga,MI,bowl,RF
Shikhar Dhawan,SRH,bat
David Warner,SRH,bat
Kane Williamson,SRH,bat
Yuvraj Singh,SRH,bowl,LOS
Ashish Reddy,SRH,bowl,RMF
Naman Ojha,SRH,bat
Moises Henriques,SRH,bowl,RMF
Trent Boult,SRH,bowl,LF
Bhuvneshwar Kumar,SRH,bowl,RMF
Karn Sharma,SRH,bowl,RLS
Ashish Nehra,SRH,bowl,LMF
